name,direction,priority,access,SourceAddressPrefix,SourcePortRange,DestinationAddressPrefix,DestinationPortRange,Protocol,AWS_CIRD
metastore,Inbound,345,Allow,INTERNET,*,*,9083,TCP,0.0.0.0/0
hive_server2_thrift_port,Inbound,346,Allow,INTERNET,*,*,10000,TCP,0.0.0.0/0
hive_server2_webui_port,Inbound,347,Allow,INTERNET,*,*,10002,TCP,0.0.0.0/0
templeton_port,Inbound,348,Allow,INTERNET,*,*,50111,TCP,0.0.0.0/0
hue,Inbound,349,Allow,INTERNET,*,*,8888,TCP,0.0.0.0/0
oozie_http_port,Inbound,350,Allow,INTERNET,*,*,11000,TCP,0.0.0.0/0
oozie_https_port,Inbound,351,Allow,INTERNET,*,*,11443,TCP,0.0.0.0/0
sentry_service_server_rpc-port,Inbound,352,Allow,INTERNET,*,*,8038,TCP,0.0.0.0/0
sentry_service_web_port,Inbound,353,Allow,INTERNET,*,*,51000,TCP,0.0.0.0/0
spark_default_master_rpc_port,Inbound,354,Allow,INTERNET,*,*,7077,TCP,0.0.0.0/0
spark_default_worker_rpc_port,Inbound,355,Allow,INTERNET,*,*,7078,TCP,0.0.0.0/0
spark_default_master_web_ui_port,Inbound,356,Allow,INTERNET,*,*,18080,TCP,0.0.0.0/0
spark_default_worker_web_ui_port,Inbound,357,Allow,INTERNET,*,*,18081,TCP,0.0.0.0/0
spark_history_server,Inbound,358,Allow,INTERNET,*,*,18088,TCP,0.0.0.0/0
sqoop_2_server,Inbound,359,Allow,INTERNET,*,*,12000,TCP,0.0.0.0/0
sqoop_2,Inbound,360,Allow,INTERNET,*,*,12001,TCP,0.0.0.0/0
clientport,Inbound,361,Allow,INTERNET,*,*,2181,TCP,0.0.0.0/0
cms_http,Inbound,362,Allow,INTERNET,*,*,7183,TCP,0.0.0.0/0
cms_metadata_server_http,Inbound,363,Allow,INTERNET,*,*,7187,TCP,0.0.0.0/0
cms_server,Inbound,364,Allow,INTERNET,*,*,7180,TCP,0.0.0.0/0
open_ldap,Inbound,365,Allow,INTERNET,*,*,389,TCP,0.0.0.0/0
